"seqnames","start","end","width","strand","no.cpgs","min_smoothed_fdr","Stouffer","HMFDR","Fisher","maxdiff","meandiff","overlapping.genes"
"chr8",42552470,42552719,250,"*",3,8.43633089385815e-34,0.000543945579110049,0.0245670796530692,0.00161626572018003,0.356233650026054,0.237905276746326,"CHRNB3"
"chr2",96808802,96809970,1169,"*",3,1.82247216212382e-27,0.000554811113933114,0.0250797909750718,0.00167692032508578,0.221917945331645,0.207504455720908,"DUSP2"
"chr5",16784775,16785135,361,"*",5,5.3855777829877e-71,0.00313470715676632,0.0183530113943119,0.00175497717571886,0.444042771951812,0.243938417419626,"MYO10"
"chr6",144184358,144184557,200,"*",3,3.8229624529694e-32,0.000620813924165089,0.0225313114428088,0.00178478095428428,0.313347663189639,0.244581605280991,"LTV1"
"chr6",166908379,166908811,433,"*",4,1.31559315975516e-38,0.000615075672757924,0.0326866382624514,0.00190183300499983,0.25904565024754,0.202407593389722,"RPS6KA2"
"chr10",90641389,90642003,615,"*",2,8.4433806396852e-35,0.00101683558783153,0.0124590128869849,0.00193720773001304,0.332718007215894,0.309478347914475,"STAMBPL1"
"chr5",14414947,14414979,33,"*",2,6.19179696103983e-28,0.00138381912541211,0.0156995023125574,0.00263706169486924,0.362354369489225,0.308935546113182,"TRIO"
"chr1",6524252,6524642,391,"*",2,2.20257760930452e-39,0.00149591577723211,0.0123406026476355,0.0026421037328506,0.336558260230269,0.243194557497914,"TNFRSF25"
"chr3",50645106,50645426,321,"*",3,1.30154267849826e-28,0.000961518226959925,0.030700662228761,0.00274171702092209,0.249818292523743,0.217997101435272,"CISH"
"chr14",92927763,92927875,113,"*",2,5.59212461652117e-27,0.00165064159199414,0.0165453627935973,0.0030858122963177,0.33696667599917,0.298665772787415,"SLC24A4"
"chr18",13501701,13502053,353,"*",2,9.23041586014587e-31,0.00208255101592524,0.0144292198248654,0.00358497671002137,0.368958053656476,0.253226186329134,"LDLRAD4"
"chr5",74346260,74346730,471,"*",2,6.04942238753266e-24,0.00217727719089124,0.0218839331401887,0.00414205740477606,0.251511970361561,0.212621416851758,"RP11-229C3.2"
"chr1",157670220,157671386,1167,"*",6,1.23744413775055e-43,0.00407898624867035,0.0350926391203126,0.00446307521381528,0.448608954924359,0.251428969393432,"FCRL3"
"chr19",47139338,47139761,424,"*",4,1.77248434888461e-31,0.00189769791623858,0.0318819787502878,0.00469499178085456,0.355951711043356,0.221977255707924,NA
"chr2",27614142,27614310,169,"*",2,9.39063419259699e-23,0.00268018827946907,0.0216904783296111,0.00489422142709377,0.330025862616327,0.309416741448018,"PPM1G"
"chr3",150477722,150477925,204,"*",2,2.36518804410872e-28,0.00378925900601813,0.0157134854752318,0.00582080085548705,0.373823883699632,0.280912460431679,"SIAH2"
"chr2",231737752,231737958,207,"*",2,8.1711576315359e-20,0.00351110962141864,0.0280939118350104,0.00650301271032631,0.248844815206998,0.235406325178138,"ITM2C"
"chr17",38023480,38024394,915,"*",5,1.71852722409129e-31,0.0027037988559055,0.0490727371751788,0.00700571170560494,0.375454365754511,0.217700518991053,NA
"chr5",195609,195698,90,"*",2,2.647323080899e-22,0.00436614656100187,0.0275622685576165,0.00770269645836,0.239541133787391,0.212470527581284,NA
"chr6",159070607,159070656,50,"*",2,7.28870143097332e-21,0.00460575297464762,0.0286349429143424,0.00812021830785422,0.341484809435993,0.32963669613766,NA
"chr6",29696264,29696650,387,"*",3,1.18214639979485e-43,0.0478784554010151,0.015934208269761,0.00817401651210538,0.393880669488447,0.251550691731031,"HLA-F, HLA-F-AS1"
"chr20",17943403,17943971,569,"*",3,3.27403929250944e-35,0.00701487596138298,0.0203623918990769,0.00871424006205311,0.414852131025311,0.201855464203895,"SNX5, OVOL2, SNORD17"
"chr16",87415899,87416230,332,"*",2,7.89807777559229e-22,0.00547136362972314,0.0319476501349511,0.00958939347701569,0.22393863135331,0.202646313300731,"FBXO31"
"chr8",54757048,54757132,85,"*",2,1.50114664873405e-28,0.0062969248819133,0.0229025141762487,0.00962623968654958,0.252310117772485,0.220420425384901,NA
"chr8",124284176,124285055,880,"*",5,4.52858739730327e-38,0.047637303939006,0.0310124202695563,0.0114074520130096,0.403670789358691,0.204005058301674,"ZHX1"
"chr12",57628654,57629240,587,"*",2,7.99984663421707e-56,0.0143703900653191,0.0102444050633802,0.0115827647948732,0.392201392886499,0.214656622475886,"SHMT2, NDUFA4L2"
"chr19",1102627,1102675,49,"*",2,4.5604574530973e-22,0.00700817390688673,0.0347236884179947,0.0119147859875589,0.231073413628282,0.213188470793924,NA
"chr7",8011594,8012104,511,"*",3,7.97602838405116e-22,0.015104028470093,0.0341100524916016,0.0132508330188665,0.420609035667312,0.288828372917194,"RPA3-AS1, GLCCI1"
"chr1",173445043,173445463,421,"*",2,3.18182236256663e-21,0.00846713625802268,0.0373122334890907,0.0140809366262763,0.366153428431707,0.260756322971437,NA
"chr12",104853100,104853274,175,"*",2,9.59498018308979e-21,0.0114169630103186,0.0347815032280427,0.0171856804559337,0.350510148101422,0.300928400240659,"CHST11"
"chr18",60984485,60984656,172,"*",2,2.18213066102457e-22,0.0114699726889502,0.0495226808157524,0.0193707800084163,0.259887612152405,0.249537646427,"BCL2"
"chr10",85898649,85898700,52,"*",2,2.50385729286664e-19,0.0145684382942899,0.0444812401446068,0.0223593460157961,0.320601423631055,0.283810119823175,"RP11-338I21.1"
"chr8",37755254,37755555,302,"*",2,3.71405723172911e-22,0.0239002482440994,0.0267645218858786,0.0252113294254224,0.353992725799787,0.220071330261326,"RAB11FIP1"
"chr15",83619037,83619523,487,"*",2,1.32743056580092e-48,0.120912489701976,0.0112802113147778,0.0293446022609052,0.402857463265538,0.209497630648303,"RP11-382A20.5, HOMER2"
"chr7",107300287,107300408,122,"*",2,4.82517857757961e-22,0.0273488263645447,0.0312194950909051,0.0294259342677466,0.448761382587373,0.267497918273823,"SLC26A4-AS1"
"chr1",12218613,12218933,321,"*",2,8.86588172671218e-29,0.337964625354618,0.0145165702753947,0.0421201706738903,0.406705206738513,0.205066804914247,NA
